,districtText,furnishingCode,value,floorArea,bedrooms,bathrooms,pricePerSqFt,hasFloorplans,latitude,longitude
7056, Buona  Vista  /  West  Coast  /  Clementi  New  Town ,FULL,888000,1420,3,2,625.3521127,FALSE,1.305343703,103.7813039
7057, Bedok  /  Upper  East  Coast ,UNKNOWN,450000,990,3,2,454.5454545,TRUE,1.333891701,103.9421803
7058, Alexandra  /  Commonwealth ,UNFUR,315000,581,2,1,542.1686747,FALSE,1.287920026,103.8320773
7059, Admiralty  /  Woodlands ,PART,408000,1270,3,2,321.2598425,TRUE,1.444944146,103.77173
7060, Admiralty  /  Woodlands ,FULL,700000,1980,5,3,353.5353535,TRUE,1.438839296,103.7804507
7061, Ang  Mo  Kio  /  Bishan  /  Thomson ,FULL,780000,1302,3,2,599.078341,TRUE,1.345192082,103.8479484
7062, Balestier  /  Toa  Payoh ,FULL,820000,1184,3,2,692.5675676,TRUE,1.345871,103.7508974
7063, Hougang  /  Punggol  /  Sengkang ,PART,830000,1485,3,2,558.9225589,TRUE,1.369266183,103.8940858
7064, Hougang  /  Punggol  /  Sengkang ,FULL,470000,1184,3,2,396.9594595,TRUE,1.39389059,103.8885867
7065, Balestier  /  Toa  Payoh ,FULL,785000,1571,4,3,499.6817314,TRUE,1.340107103,103.8525357
7066, Balestier  /  Toa  Payoh ,FULL,320000,721,3,2,443.8280166,FALSE,1.339180025,103.8546279
7067, Ang  Mo  Kio  /  Bishan  /  Thomson ,FULL,590000,904,3,2,652.6548673,TRUE,1.348924322,103.8538635
7068, Hougang  /  Punggol  /  Sengkang ,PART,660000,1571,3,2,420.1145767,TRUE,1.373244854,103.8757353
7069,D21,UNFUR,700000,1119,3,2,625.5585344,TRUE,1.339062807,103.7727496
7070, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,UNKNOWN,420000,1087,3,2,386.3845446,FALSE,1.397885554,103.7462327
7071, Admiralty  /  Woodlands ,UNKNOWN,405000,1313,3,2,308.4539223,FALSE,1.444417461,103.7990012
7072,D19,UNKNOWN,365000,91,3,2,4010.989011,FALSE,UNKNOWN,1.367282861
7073, Admiralty  /  Woodlands ,UNKNOWN,580000,1453,4,2,399.1741225,TRUE,1.440297575,103.7917801
7074, Admiralty  /  Woodlands ,FULL,360000,1184,3,UNKNOWN,304.0540541,FALSE,UNKNOWN,UNKNOWN
7075, Alexandra  /  Commonwealth ,UNKNOWN,348888,624,2,2,559.1153846,FALSE,1.30481559,103.7990027
7076, Buona  Vista  /  West  Coast  /  Clementi  New  Town ,UNKNOWN,615000,1119,3,2,549.5978552,FALSE,1.32373169,103.7700422
7077, Alexandra  /  Commonwealth ,FULL,320000,714,3,1,448.1792717,FALSE,1.306593811,103.7979005
7078, Macpherson  /  Potong  Pasir ,UNKNOWN,295000,635,2,UNKNOWN,464.5669291,FALSE,1.328126724,103.8866079
7079,D19,UNKNOWN,498000,117,3,2,4256.410256,FALSE, Partially  Furnished ,1.378522992
7080, Ang  Mo  Kio  /  Bishan  /  Thomson ,FULL,399999,990,3,2,404.0393939,TRUE,1.369884967,103.8578239
7081, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,FULL,520000,1506,4,2,345.2855246,TRUE,1.401761484,103.7440416
7082, Admiralty  /  Woodlands ,PART,370000,1119,3,3,330.6523682,TRUE,1.442772807,103.7926326
7083, Ang  Mo  Kio  /  Bishan  /  Thomson ,UNKNOWN,480000,950,3,2,505.2631579,FALSE,1.372596111,103.8489088
7084, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,399000,1001,3,2,398.6013986,FALSE,1.4055137,103.9080169
7085, Pasir  Ris  /  Tampines ,UNKNOWN,425000,904,3,2,470.1327434,FALSE,1.359055571,103.9474461
7086, Pasir  Ris  /  Tampines ,PART,680000,1334,3,2,509.7451274,FALSE,1.343747405,103.9547945
7087, Buona  Vista  /  West  Coast  /  Clementi  New  Town ,UNKNOWN,680000,1000,3,2,680,FALSE,1.306192,103.782499
7088, Boon  Lay  /  Jurong  /  Tuas ,PART,480000,1184,3,2,405.4054054,FALSE,1.34500561,103.7043211
7089, Balestier  /  Toa  Payoh ,PART,520000,925,3,2,562.1621622,FALSE,1.335832858,103.8452377
7090, Alexandra  /  Commonwealth ,PART,368000,699,2,2,526.4663805,FALSE,1.290143541,103.8225268
7091, Hougang  /  Punggol  /  Sengkang ,FULL,488000,1291,3,2,378.0015492,TRUE,1.3755832,103.8961235
7093, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,UNKNOWN,565000,1528,4,2,369.7643979,FALSE,1.377929953,103.7543259
7094, Balestier  /  Toa  Payoh ,PART,570000,1281,3,2,444.9648712,FALSE,1.341225859,103.8560272
7095, Alexandra  /  Commonwealth ,FULL,450000,645,2,UNKNOWN,697.6744186,FALSE,1.282210884,103.8248741
7096, Boon  Lay  /  Jurong  /  Tuas ,FULL,330000,797,2,2,414.0526976,FALSE,1.349979052,103.7179855
7097, Balestier  /  Toa  Payoh ,PART,758000,1572,3,3,482.1882952,FALSE,1.340107103,103.8525357
7098, Hougang  /  Punggol  /  Sengkang ,PART,520000,1001,3,2,519.4805195,FALSE,1.402206,103.902106
7099, Hougang  /  Punggol  /  Sengkang ,FULL,425000,1206,3,2,352.4046434,FALSE,1.399471348,103.910646
7100, Macpherson  /  Potong  Pasir ,PART,780000,1603,3,2,486.5876482,FALSE,1.334210245,103.8667884
7101, Balestier  /  Toa  Payoh ,UNKNOWN,370000,731,3,UNKNOWN,506.1559508,FALSE,UNKNOWN,UNKNOWN
7102, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,PART,415000,1335,3,2,310.8614232,TRUE,1.379862462,103.7572327
7103, Admiralty  /  Woodlands ,UNKNOWN,378000,1033,3,2,365.9244918,TRUE,1.433632069,103.7967613
7104, Bedok  /  Upper  East  Coast ,UNKNOWN,610000,1367,3,UNKNOWN,446.2326262,FALSE,1.33334,103.94092
7105, Bedok  /  Upper  East  Coast ,UNFUR,270000,635,2,1,425.1968504,FALSE,1.331154263,103.9312867
7106, Admiralty  /  Woodlands ,UNFUR,420000,1302,3,2,322.5806452,FALSE,1.428386009,103.7938554
7107, Sembawang  /  Yishun ,UNFUR,290000,688,2,2,421.5116279,FALSE,1.431912319,103.8275084
7108, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,500000,1098,3,2,455.3734062,FALSE,1.387491518,103.899609
7109, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,UNKNOWN,450000,1184,3,2,380.0675676,FALSE,1.401977599,103.7518252
7110, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,UNFUR,358000,1119,3,2,319.9285076,FALSE,1.380420447,103.739969
7111, Eunos  /  Geylang  /  Paya  Lebar ,UNKNOWN,700000,1184,5,UNKNOWN,591.2162162,FALSE,1.314027637,103.8730388
7112, Balestier  /  Toa  Payoh ,PART,320000,731,3,2,437.7564979,FALSE,1.339175,103.854164
7113, Balestier  /  Toa  Payoh ,FULL,330000,721,2,2,457.6976422,FALSE,1.337972138,103.8443658
7114, Ang  Mo  Kio  /  Bishan  /  Thomson ,UNFUR,325000,990,2,2,328.2828283,FALSE,1.371362026,103.8558082
7115, Ang  Mo  Kio  /  Bishan  /  Thomson ,UNFUR,410000,990,3,2,414.1414141,FALSE,1.364092593,103.8566313
7116, Ang  Mo  Kio  /  Bishan  /  Thomson ,UNFUR,306000,731,2,2,418.6046512,FALSE,1.376690818,103.8402406
7117, Ang  Mo  Kio  /  Bishan  /  Thomson ,UNFUR,305000,731,2,2,417.2366621,FALSE,1.376690818,103.8402406
7118, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,400000,1184,3,2,337.8378378,FALSE,1.3962013,103.8958283
7119, Boon  Lay  /  Jurong  /  Tuas ,UNKNOWN,458000,1022,3,UNKNOWN,448.1409002,FALSE,1.343267746,103.705378
7120, Boon  Lay  /  Jurong  /  Tuas ,UNKNOWN,460000,1184,3,UNKNOWN,388.5135135,FALSE,1.343467637,103.7002969
7121, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,UNKNOWN,460000,1377,3,UNKNOWN,334.0595497,FALSE,1.389485007,103.7408971
7122, Beach  Road  /  Bugis  /  Rochor ,UNFUR,350000,871,2,1,401.836969,FALSE,UNKNOWN,UNKNOWN
7123, Ang  Mo  Kio  /  Bishan  /  Thomson ,PART,308000,732,2,2,420.7650273,FALSE,1.376304887,103.8417947
7124, Sembawang  /  Yishun ,UNKNOWN,329000,721,2,2,456.3106796,FALSE,1.419979,103.844368
7125, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,PART,365000,1108,3,2,329.4223827,FALSE,1.377120915,103.7729011
7126, Boon  Lay  /  Jurong  /  Tuas ,FULL,398000,1162,3,2,342.5129088,FALSE,1.347699239,103.7239694
7127, Balestier  /  Toa  Payoh ,UNKNOWN,385000,732,2,2,525.9562842,FALSE,1.323659325,103.8701486
7128, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,368000,968,3,UNKNOWN,380.1652893,FALSE,1.387168918,103.8925881
7129, Harbourfront  /  Telok  Blangah ,UNKNOWN,800000,1022,3,2,782.778865,FALSE,1.273834767,103.806505
7130, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,UNKNOWN,460000,968,3,2,475.2066116,FALSE,1.363721545,103.7528029
7131, Bedok  /  Upper  East  Coast ,UNFUR,328000,861,2,2,380.952381,FALSE,1.327127128,103.9188824
7132, Hougang  /  Punggol  /  Sengkang ,FULL,680000,1571,3,3,432.8453215,FALSE,1.351980035,103.8831392
7133, Hougang  /  Punggol  /  Sengkang ,PART,435000,1001,3,2,434.5654346,FALSE,1.402681812,103.9076668
7134, Seletar  /  Yio  Chu  Kang ,PART,440000,1011,3,2,435.2126607,FALSE,1.393061,103.875741
7135, Ang  Mo  Kio  /  Bishan  /  Thomson ,UNFUR,740000,1033,3,2,716.3601162,FALSE,1.3654796,103.8447229
7136,D19,UNKNOWN,498000,110,3,2,4527.272727,FALSE, Partially  Furnished ,1.395181966
7137, Ang  Mo  Kio  /  Bishan  /  Thomson ,PART,850000,1205,3,2,705.3941909,FALSE,1.371353,103.854091
7138, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,PART,398000,1356,4,2,293.5103245,FALSE,1.3894055,103.7431155
7139, Bedok  /  Upper  East  Coast ,UNFUR,375000,882,2,2,425.170068,FALSE,1.328158393,103.9387247
7140, Balestier  /  Toa  Payoh ,FULL,550000,1108,3,2,496.3898917,FALSE,1.327158674,103.8557007
7141, Boon  Lay  /  Jurong  /  Tuas ,FULL,410000,925,3,3,443.2432432,FALSE,1.335461838,103.6974907
7142, Boon  Lay  /  Jurong  /  Tuas ,UNFUR,450000,1367,3,2,329.1880029,FALSE,1.346298678,103.7005957
7143, Bedok  /  Upper  East  Coast ,PART,345000,700,2,2,492.8571429,FALSE,1.327065979,103.9221768
7144, Sembawang  /  Yishun ,FULL,340000,904,3,2,376.1061947,TRUE,1.420179704,103.8384092
7145, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,UNKNOWN,350000,1097,3,2,319.0519599,TRUE,1.402491858,103.7493831
7146, Ang  Mo  Kio  /  Bishan  /  Thomson ,FULL,638000,1302,3,2,490.015361,TRUE,1.376689839,103.8382427
7147, Sembawang  /  Yishun ,PART,332000,1119,3,2,296.6934763,FALSE,1.427866586,103.8475584
7148, Admiralty  /  Woodlands ,FULL,349000,1119,3,2,311.8856122,FALSE,1.434975267,103.8018579
7149, Macpherson  /  Potong  Pasir ,UNKNOWN,299000,688,2,1,434.5930233,FALSE,1.331529118,103.8854196
7150, Tanglin  /  Holland  /  Bukit  Timah ,UNKNOWN,900000,1280,3,2,703.125,FALSE,1.310490339,103.792355
7151, Boon  Lay  /  Jurong  /  Tuas ,UNKNOWN,588000,1528,3,2,384.8167539,FALSE,1.349256847,103.6961104
7152, Sembawang  /  Yishun ,PART,340000,904,3,2,376.1061947,FALSE,1.420179704,103.8384092
7153, Seletar  /  Yio  Chu  Kang ,PART,480000,1227,3,2,391.198044,TRUE,1.389882495,103.8781182
7154, Sembawang  /  Yishun ,PART,340000,904,3,2,376.1061947,TRUE,1.425907904,103.8486608
7155, Seletar  /  Yio  Chu  Kang ,PART,420000,1011,3,2,415.4302671,TRUE,1.39228,103.873566
7156, Sembawang  /  Yishun ,PART,450000,1194,3,2,376.8844221,TRUE,1.449281487,103.8159557
7157, Sembawang  /  Yishun ,PART,440000,1001,3,2,439.5604396,TRUE,1.430773657,103.8357399
7158, Seletar  /  Yio  Chu  Kang ,PART,458000,1012,3,2,452.56917,TRUE,1.391792,103.873344
7159, Boon  Lay  /  Jurong  /  Tuas ,UNKNOWN,505000,1615,3,3,312.6934985,FALSE,1.35339,103.715905
7160, Hougang  /  Punggol  /  Sengkang ,UNFUR,675000,1539,3,3,438.5964912,FALSE,1.385560888,103.8970699
7161, Bedok  /  Upper  East  Coast ,PART,320000,721,2,2,443.8280166,FALSE,1.333134182,103.9391837
7162, Sembawang  /  Yishun ,UNFUR,350000,904,3,2,387.1681416,FALSE,1.424362207,103.8337951
7163, Sembawang  /  Yishun ,UNFUR,320000,1119,3,2,285.9696157,FALSE,1.424419897,103.8458951
7164, Sembawang  /  Yishun ,UNFUR,360000,1323,3,2,272.1088435,FALSE,1.424978722,103.8464327
7165, Sembawang  /  Yishun ,FULL,358000,1023,3,2,349.9511241,FALSE,1.448053672,103.8178433
7166, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,UNFUR,540000,1593,3,2,338.9830508,FALSE,1.392316723,103.7471089
7167, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,UNFUR,330000,1162,3,2,283.9931153,FALSE,1.378180501,103.7451953
7168, Ang  Mo  Kio  /  Bishan  /  Thomson ,UNFUR,325000,731,2,2,444.5964432,FALSE,1.373414394,103.8529042
7169, Ang  Mo  Kio  /  Bishan  /  Thomson ,UNFUR,318000,721,2,2,441.0540915,FALSE,1.362331684,103.8580836
7170, Sembawang  /  Yishun ,UNFUR,338000,1119,3,2,302.0554066,FALSE,1.420544229,103.8405484
7171, Boon  Lay  /  Jurong  /  Tuas ,PART,410000,914,3,2,448.5776805,FALSE,1.341493073,103.7035763
7172, Hougang  /  Punggol  /  Sengkang ,PART,460000,1227,3,2,374.8981255,FALSE,1.395792728,103.9144255
7173, Sembawang  /  Yishun ,UNKNOWN,320000,904,3,2,353.9823009,FALSE,1.435836837,103.839332
7174, Boon  Lay  /  Jurong  /  Tuas ,FULL,460000,1001,3,2,459.5404595,FALSE,1.336159584,103.704159
7175, Alexandra  /  Commonwealth ,UNKNOWN,550000,915,3,1,601.0928962,FALSE,1.292298005,103.8041056
7176, Pasir  Ris  /  Tampines ,UNKNOWN,610000,1604,4,2,380.2992519,FALSE,1.371600193,103.9629037
7177, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,460000,1001,3,2,459.5404595,FALSE,1.404714,103.907621
7178, Ang  Mo  Kio  /  Bishan  /  Thomson ,PART,799000,1323,4,2,603.9304611,FALSE,1.356069894,103.8456124
7179, Hougang  /  Punggol  /  Sengkang ,PART,450000,1184,3,2,380.0675676,FALSE,1.397096515,103.9069146
7181, Beach  Road  /  Bugis  /  Rochor ,PART,379999,732,2,2,519.1243169,TRUE,1.303426013,103.8644117
7182, Admiralty  /  Woodlands ,UNFUR,255000,732,2,2,348.3606557,FALSE,1.443768295,103.7742665
7183, Admiralty  /  Woodlands ,PART,435000,1388,4,UNKNOWN,313.4005764,FALSE,1.439946478,103.79406
7184, Eunos  /  Geylang  /  Paya  Lebar ,UNKNOWN,580000,1367,3,2,424.2867593,TRUE,1.333626886,103.9066957
7185, Hougang  /  Punggol  /  Sengkang ,PART,460000,1001,3,2,459.5404595,TRUE,1.401786412,103.9127576
7186, Macpherson  /  Potong  Pasir ,PART,570000,1323,3,2,430.8390023,FALSE,1.334823169,103.8807252
7187, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,458000,1001,3,2,457.5424575,FALSE,1.402608,103.911427
7188, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,UNKNOWN,400000,1119,3,2,357.4620197,FALSE,1.383494157,103.7468415
7189, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,UNKNOWN,345000,1119,3,2,308.310992,FALSE,1.375620781,103.7382776
7190, Hougang  /  Punggol  /  Sengkang ,FULL,440000,1302,3,2,337.9416283,FALSE,1.367949026,103.8706661
7191, Boon  Lay  /  Jurong  /  Tuas ,UNKNOWN,480000,1377,4,2,348.583878,FALSE,1.336312521,103.7214567
7192, Alexandra  /  Commonwealth ,UNKNOWN,315000,645,2,2,488.372093,FALSE,1.304154507,103.8002068
7193, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,PART,552000,689,2,2,801.161103,FALSE,UNKNOWN,UNKNOWN
7194, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,FULL,630000,1184,3,2,532.0945946,TRUE,1.380287514,103.7648654
7195, Sembawang  /  Yishun ,PART,420000,1302,4,2,322.5806452,TRUE,1.428955777,103.8433314
7196, Farrer  Park  /  Serangoon  Rd ,UNFUR,355000,678,2,2,523.5988201,TRUE,1.314278081,103.8569617
7197, Pasir  Ris  /  Tampines ,FULL,545000,1593,4,2,342.1217828,FALSE,1.370611123,103.9610257
7198, Hougang  /  Punggol  /  Sengkang ,FULL,540000,1076,2,2,501.8587361,FALSE,1.375097886,103.8873721
7199, Hougang  /  Punggol  /  Sengkang ,PART,410000,979,3,2,418.7946885,TRUE,1.37403651,103.8963462
7200, Hougang  /  Punggol  /  Sengkang ,PART,420000,990,3,2,424.2424242,TRUE,1.404307069,103.9092293
7201, Harbourfront  /  Telok  Blangah ,UNFUR,340000,699,2,1,486.4091559,TRUE,1.278123584,103.8203075
7202, Pasir  Ris  /  Tampines ,UNFUR,500000,1313,4,2,380.8073115,TRUE,1.34553454,103.9591324
7203,D11,PART,533000,1011,3,2,527.2007913,TRUE,1.319181854,103.8506329
7204, Alexandra  /  Commonwealth ,FULL,888000,1184,3,2,750,TRUE,1.281979356,103.8259243
7205, Hougang  /  Punggol  /  Sengkang ,FULL,545000,1001,3,2,544.4555445,FALSE,1.402247,103.901371
7206, Admiralty  /  Woodlands ,PART,450000,1313,4,2,342.7265804,TRUE,1.435396198,103.8016186
7207, Macpherson  /  Potong  Pasir ,UNKNOWN,338000,721,2,2,468.7933426,TRUE,1.336745974,103.8634963
7208, Tanglin  /  Holland  /  Bukit  Timah ,FULL,450000,818,2,2,550.1222494,FALSE,1.312226104,103.7881904
7209, Sembawang  /  Yishun ,FULL,300000,721,2,2,416.0887656,TRUE,1.434535165,103.8313066
7210, Macpherson  /  Potong  Pasir ,FULL,278000,602,2,1,461.7940199,FALSE,1.325788868,103.8855332
7211, Hougang  /  Punggol  /  Sengkang ,FULL,488000,1184,3,3,412.1621622,FALSE,1.397453729,103.9151107
7212, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,FULL,415000,1184,3,2,350.5067568,FALSE,1.404123857,103.7481954
7213, Boon  Lay  /  Jurong  /  Tuas ,UNKNOWN,488000,1184,3,2,412.1621622,FALSE,1.342744792,103.6983165
7214, Ang  Mo  Kio  /  Bishan  /  Thomson ,PART,320000,731,2,2,437.7564979,FALSE,1.376717328,103.8417348
7215, Eunos  /  Geylang  /  Paya  Lebar ,FULL,360000,699,2,1,515.0214592,FALSE,1.320864912,103.8855012
7216, Eunos  /  Geylang  /  Paya  Lebar ,FULL,580000,1333,4,2,435.1087772,FALSE,1.317483563,103.8762219
7217, Hougang  /  Punggol  /  Sengkang ,FULL,450000,1184,3,2,380.0675676,TRUE,1.388684173,103.8934818
7218, Hougang  /  Punggol  /  Sengkang ,FULL,360000,968,3,2,371.9008264,TRUE,1.393736243,103.9063135
7219, Macpherson  /  Potong  Pasir ,FULL,280000,603,2,1,464.344942,FALSE,1.325788868,103.8855332
7220, Harbourfront  /  Telok  Blangah ,FULL,750000,990,3,2,757.5757576,TRUE,1.273834767,103.806505
7221, Ang  Mo  Kio  /  Bishan  /  Thomson ,UNFUR,420000,990,3,2,424.2424242,FALSE,1.366292626,103.8570059
7222, Hougang  /  Punggol  /  Sengkang ,FULL,468000,1023,3,2,457.4780059,TRUE,1.404307069,103.9092293
7223, Boon  Lay  /  Jurong  /  Tuas ,FULL,360000,1162,3,2,309.8106713,TRUE,1.34518177,103.6921085
7224, Hougang  /  Punggol  /  Sengkang ,PART,460000,1227,3,2,374.8981255,TRUE,1.395377069,103.9015104
7225, Admiralty  /  Woodlands ,UNFUR,615000,1765,4,3,348.4419263,TRUE,1.4304721,103.7797449
7226, Ang  Mo  Kio  /  Bishan  /  Thomson ,UNFUR,457000,990,3,2,461.6161616,FALSE,1.369882,103.857961
7227, Pasir  Ris  /  Tampines ,FULL,578000,1377,4,2,419.7530864,TRUE,1.34553454,103.9591324
7228,D22,UNKNOWN,500000,110,5,2,4545.454545,TRUE,Unfurnished,1.345222558
7229, Hougang  /  Punggol  /  Sengkang ,FULL,450000,1184,3,2,380.0675676,TRUE,1.396211486,103.8990768
7230, Boat  Quay  /  Raffles  Place  /  Marina ,UNFUR,425000,699,2,1,608.0114449,TRUE,1.286227474,103.8422228
7231, Boon  Lay  /  Jurong  /  Tuas ,FULL,358000,914,3,2,391.6849015,FALSE,1.352194552,103.7032388
7232, Ang  Mo  Kio  /  Bishan  /  Thomson ,PART,495000,753,2,2,657.3705179,FALSE,1.3654796,103.8447229
7233, Boon  Lay  /  Jurong  /  Tuas ,PART,568888,1420,4,2,400.6253521,TRUE,1.335888407,103.6993788
7234, Alexandra  /  Commonwealth ,FULL,798000,1011,3,2,789.3175074,FALSE,1.294607,103.810683
7235, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,FULL,425000,1323,3,2,321.239607,FALSE,1.379145826,103.7345652
7236, Admiralty  /  Woodlands ,FULL,285000,721,2,2,395.2843273,FALSE,1.44148152,103.7723125
7237, Sembawang  /  Yishun ,UNFUR,350000,958,3,2,365.3444676,FALSE,1.435264519,103.8292485
7238, Sembawang  /  Yishun ,PART,390000,904,3,2,431.4159292,FALSE,1.425963248,103.8341187
7240, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,490000,1313,3,2,373.1911653,TRUE,1.376058731,103.8839649
7241, Ang  Mo  Kio  /  Bishan  /  Thomson ,UNKNOWN,820000,1302,4,2,629.8003072,TRUE,1.357023487,103.8450997
7242, Alexandra  /  Commonwealth ,UNKNOWN,680000,1259,3,2,540.1111994,TRUE,1.284053617,103.8145852
7243, Ang  Mo  Kio  /  Bishan  /  Thomson ,UNFUR,850000,1205,3,2,705.3941909,TRUE,1.3721095,103.8526723
7244, Ang  Mo  Kio  /  Bishan  /  Thomson ,UNKNOWN,499000,979,3,2,509.7037794,FALSE,1.363609023,103.8517221
7245, Harbourfront  /  Telok  Blangah ,FULL,270000,484,2,1,557.8512397,FALSE,1.271771826,103.8095878
7246, Chinatown  /  Tanjong  Pagar ,UNKNOWN,480000,635,2,UNKNOWN,755.9055118,FALSE,1.27573,103.842833
7247, Farrer  Park  /  Serangoon  Rd ,UNKNOWN,430000,968,3,2,444.214876,FALSE,1.306687071,103.8499299
7249, Alexandra  /  Commonwealth ,PART,860000,1184,3,2,726.3513514,FALSE,1.28096617,103.8276579
7250, Alexandra  /  Commonwealth ,PART,798000,1076,3,2,741.6356877,FALSE,1.282920395,103.8279997
7251, Alexandra  /  Commonwealth ,PART,738000,968,3,2,762.3966942,FALSE,1.29385457,103.8090801
7252, Alexandra  /  Commonwealth ,PART,730000,914,3,2,798.6870897,FALSE,1.282718,103.825252
7253, Alexandra  /  Commonwealth ,PART,758000,968,3,2,783.0578512,FALSE,1.301794115,103.7980284
7254, Alexandra  /  Commonwealth ,PART,730000,914,3,2,798.6870897,FALSE,1.283066,103.82562
7255, Hougang  /  Punggol  /  Sengkang ,FULL,430000,1184,3,2,363.1756757,FALSE,1.397249109,103.9089982
7256, Hougang  /  Punggol  /  Sengkang ,PART,483800,1248,3,2,387.6602564,FALSE,1.378178641,103.878414
7257, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,UNFUR,310000,1162,3,2,266.7814114,FALSE,1.378180501,103.7451953
7258, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,430000,1119,3,2,384.2716711,FALSE,1.369287536,103.8845913
7259, Buona  Vista  /  West  Coast  /  Clementi  New  Town ,UNFUR,330000,699,2,1,472.1030043,FALSE,1.302446459,103.7833674
7260, Pasir  Ris  /  Tampines ,FULL,498000,1345,4,2,370.260223,FALSE,1.365119022,103.9590301
7261, Ang  Mo  Kio  /  Bishan  /  Thomson ,UNFUR,415000,980,3,2,423.4693878,FALSE,1.379421758,103.8368326
7262, Ang  Mo  Kio  /  Bishan  /  Thomson ,UNFUR,427000,1023,3,2,417.3998045,FALSE,1.379560515,103.839411
7263, Ang  Mo  Kio  /  Bishan  /  Thomson ,UNFUR,370000,689,2,1,537.0101597,FALSE,1.345784799,103.8475042
7264, Sembawang  /  Yishun ,FULL,440000,1184,3,2,371.6216216,TRUE,1.452069483,103.8232802
7265, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,395000,969,3,2,407.6367389,TRUE,1.397453729,103.9151107
7266, Balestier  /  Toa  Payoh ,PART,685000,1087,3,2,630.174793,FALSE,1.339915062,103.8462091
7267, Alexandra  /  Commonwealth ,FULL,590000,947,3,2,623.0200634,FALSE,1.28113254,103.8288373
7268, Admiralty  /  Woodlands ,PART,578000,1517,4,3,381.0151615,FALSE,1.437990409,103.7999609
7269, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,PART,648000,1400,3,2,462.8571429,FALSE,1.382485543,103.7615259
7270, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,480000,1184,3,UNKNOWN,405.4054054,FALSE,1.393711327,103.8940049
7271, Balestier  /  Toa  Payoh ,PART,270000,721,2,2,374.479889,FALSE,1.338698354,103.8536634
7272, Ang  Mo  Kio  /  Bishan  /  Thomson ,UNFUR,282000,731,2,2,385.7729138,FALSE,1.369773952,103.8592754
7273, Ang  Mo  Kio  /  Bishan  /  Thomson ,PART,330000,731,2,2,451.4363885,FALSE,1.369446777,103.8579521
7274, Buona  Vista  /  West  Coast  /  Clementi  New  Town ,UNKNOWN,320000,721,2,UNKNOWN,443.8280166,FALSE,1.307142105,103.7594039
7275, Boon  Lay  /  Jurong  /  Tuas ,UNKNOWN,310000,721,2,UNKNOWN,429.9583911,FALSE,1.339466196,103.7381888
7276, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,380000,990,3,UNKNOWN,383.8383838,FALSE,1.366016044,103.8717087
7277, Balestier  /  Toa  Payoh ,UNKNOWN,288000,710,2,1,405.6338028,FALSE,1.336389224,103.8588555
7278, Balestier  /  Toa  Payoh ,UNKNOWN,340000,710,2,1,478.8732394,FALSE,1.320531034,103.8696327
7279, Admiralty  /  Woodlands ,FULL,355000,1087,3,2,326.5869365,FALSE,1.443471316,103.7972799
7280, Boon  Lay  /  Jurong  /  Tuas ,PART,299000,721,2,2,414.7018031,FALSE,1.347377408,103.716593
7281, Boon  Lay  /  Jurong  /  Tuas ,PART,500000,1184,3,2,422.2972973,FALSE,1.335980854,103.6954942
7282, Tanglin  /  Holland  /  Bukit  Timah ,PART,630000,925,3,2,681.0810811,FALSE,1.307698993,103.7947159
7283, Pasir  Ris  /  Tampines ,PART,620000,1335,3,2,464.4194757,FALSE,UNKNOWN,UNKNOWN
